esa40-il,2.0,12.0,10.7,27.1
falcon-il,1.6,20.5,13.7,30.6
fauvel-il,2.5,25.2,14.0,25.2
fg1-il,3.1,40.0,8.2,30.0
fg2-il,3.3,30.0,8.2,30.0
fg3-il,4.3,30.0,10.1,30.0
fg4-il,4.7,30.0,12.7,30.0
fx049915-il,5.8,37.1,14.7,37.1
fx05188-il,2.6,50.0,18.8,37.1
fx05191-il,2.6,50.0,19.1,37.1
fx057816-il,5.1,37.1,16.2,37.1
fx05h126-il,4.4,37.1,12.6,37.1
fx082512-il,4.2,62.9,11.8,25.0
fx08s176-il,5.7,37.1,17.6,37.1
fx2-il,3.8,69.1,20.4,43.5
fx3-il,4.2,75.0,20.0,50.0
fx38153-il,2.1,80.4,15.5,43.5
fx60100-il,3.6,56.5,10.0,27.9
fx601001-il,3.6,59.7,10.1,30.8
fx60100sm-il,3.5,56.5,10.0,27.9
fx60126-il,3.6,56.5,12.6,27.9
fx601261-il,4.0,56.5,12.6,27.9
fx60157-il,2.7,75.0,15.7,40.2
fx60160-il,3.1,60.0,15.6,40.0
fx60177-il,2.7,77.8,17.7,37.1
fx61140-il,2.5,30.9,14.0,33.9
fx61147-il,3.2,33.9,14.8,33.9
fx61163-il,2.6,33.9,16.4,37.1
fx61168-il,3.0,37.1,16.8,37.1
fx61184-il,3.1,62.9,18.4,37.1
fx62k131-il,3.9,53.3,13.1,40.2
fx62k153-il,4.1,62.9,15.3,40.2
fx63100-il,4.3,50.0,9.9,30.8
fx63110-il,4.3,50.0,11.0,30.8
fx63120-il,5.2,50.0,12.0,30.8
fx63137-il,6.0,53.3,13.7,30.9
fx63137sm-il,5.8,56.5,13.7,30.9
fx63143-il,3.1,30.9,14.3,33.9
fx63145-il,4.0,37.1,14.5,30.9
fx63147-il,3.1,33.9,14.7,33.9
fx63158-il,3.8,37.1,15.8,33.9
fx6617a2-il,3.8,37.1,18.2,33.9
fx6617ai-il,3.7,40.2,18.8,35.3
fx66182-il,3.8,37.1,18.2,33.9
fx66196v-il,4.0,46.7,19.6,37.1
fx66a175-il,4.2,40.2,17.5,33.9
fx66h60-il,1.7,17.0,6.0,22.2
fx66h80-il,2.5,25.0,8.0,27.9
fx66s161-il,3.9,43.5,16.1,33.9
fx66s171-il,3.9,43.5,17.1,33.9
fx66s196-il,3.8,43.5,19.6,37.1
fx67k150-il,4.8,43.5,15.0,40.2
fx67k170-il,5.1,43.5,17.0,40.2
fx68h120-il,2.3,33.9,11.8,25.0
fx69274-il,3.2,37.1,27.4,33.9
fx69h083-il,2.5,33.3,8.4,33.3
fx69h098-il,1.7,22.5,9.9,28.2
fx69pr281-il,5.6,50.0,28.1,22.2
fx71089a-il,0.0,0.0,8.9,22.2
fx71120-il,0.0,0.0,12.0,25.0
fx711520-il,0.0,0.0,15.0,33.9
fx711525-il,0.0,0.0,15.0,33.9
fx711530-il,0.0,0.0,15.0,33.9
fx71l150-il,0.0,0.0,15.0,33.9
fx72150a-il,8.3,46.7,15.0,37.1
fx72150b-il,9.7,46.7,15.0,37.1
fx72ls160-il,8.2,43.5,16.0,37.1
fx73170-il,4.4,56.5,17.1,43.5
fx73170a-il,5.6,43.5,17.1,43.5
fx73cl1152-il,6.1,33.9,15.2,22.2
fx73cl2152-il,6.6,43.5,15.2,22.2
fx73cl3152-il,8.0,43.5,15.2,22.2
fx73k170-il,4.6,56.5,17.1,40.2
fx74080-il,4.3,46.7,8.2,43.5
fx74130wp1-il,3.8,50.0,13.0,46.7
fx74130wp2-il,3.9,46.7,13.0,43.5
fx74130wp2mod-il,3.9,43.5,12.9,43.5
fx74cl5140-il,9.9,37.1,14.0,30.9
fx74cl6140-il,7.1,33.9,14.1,30.9
fx74modsm-il,9.7,41.6,13.1,27.1
fx75141-il,3.4,53.3,14.1,37.1
fx75193-il,3.7,69.1,19.3,40.2
fx75vg166-il,2.4,40.2,16.7,43.5
fx76100-il,0.0,0.0,10.1,27.9
fx76120-il,0.0,0.0,12.1,27.9
fx76mp120-il,7.6,46.7,12.1,33.9
fx76mp140-il,7.1,46.7,14.1,33.9
fx76mp160-il,6.1,50.0,16.1,33.9
fx77080-il,0.0,0.0,8.0,27.9
fx77w121-il,4.6,30.9,12.1,30.9
fx77w153-il,4.5,27.9,15.2,27.9
fx77w258-il,4.3,27.9,26.1,30.9
fx77w270-il,4.3,27.9,27.1,33.9
fx77w270s-il,4.2,27.9,27.1,33.9
fx77w343-il,4.7,25.0,34.4,33.9
fx78k140-il,4.4,43.5,14.1,43.5
fx78k140a20-il,4.4,43.5,14.1,43.5
fx78k150-il,4.3,43.5,15.1,43.5
fx78k161-il,2.8,37.1,16.2,40.2
fx78pk188-il,2.4,50.0,18.8,43.5
fx79k144-il,2.8,40.2,14.4,43.5
fx79l100-il,0.0,0.0,10.1,33.9
fx79l120-il,0.0,0.0,12.1,33.9
fx79w151a-il,3.8,37.1,15.2,33.9
fx79w470a-il,3.8,22.2,46.4,37.1
fx79w660a-il,2.3,17.0,66.4,46.7
fx80080-il,2.2,50.0,8.1,40.2
fx83w108-il,4.2,53.3,10.9,30.9
fx83w160-il,3.9,62.9,16.1,37.1
fx83w227-il,3.4,40.2,22.6,33.9
fx84w097-il,2.8,37.1,9.7,33.9
fx84w127-il,3.7,40.2,12.8,33.9
fx84w140-il,4.2,40.2,14.1,37.1
fx84w150-il,4.2,40.2,15.0,37.1
fx84w175-il,4.4,43.5,17.6,37.1
fx84w218-il,3.2,43.5,22.0,33.9
fxl142k-il,0.0,0.0,14.2,30.9
fxlv152-il,0.0,0.0,15.3,33.9
fxm2-il,4.8,30.9,8.4,19.6
fxs02196-il,3.7,43.5,19.6,37.1
fxs03182-il,2.9,56.5,18.2,40.2
fxs21158-il,3.5,37.1,15.8,30.9
geminism-il,2.2,37.9,15.4,34.2
giiia-il,0.7,14.7,11.0,39.7
giiib-il,0.8,24.7,10.4,39.7
giiic-il,0.9,29.8,9.9,39.8
giiid-il,1.0,29.8,9.7,39.8
giiie-il,1.2,29.9,8.8,44.9
giiif-il,1.3,29.9,8.3,44.9
giiig-il,1.3,29.9,8.3,44.9
giiih-il,1.3,29.9,8.3,39.9
giiii-il,1.3,25.0,8.5,40.0
giiij-il,1.4,25.0,8.5,35.0
giiik-il,1.5,25.0,8.5,35.0
giiil-il,1.6,25.1,8.5,35.1
giiim-il,1.9,25.2,8.5,35.2
giiin-il,2.1,20.2,8.4,30.2
glennmartin2-il,6.1,30.0,13.5,20.0
glennmartin3-il,4.6,30.0,13.8,30.0
glennmartin4-il,6.0,30.0,15.5,30.0
gm15sm-il,4.8,49.3,6.7,20.5
goe05k-il,1.5,50.0,3.7,50.0
goe06k-il,3.1,50.0,7.5,50.0
goe07k-il,4.5,50.0,11.0,50.0
goe08k-il,6.1,50.0,14.9,50.0
goe09k-il,0.9,60.0,2.5,50.0
goe100-il,3.6,39.9,6.6,20.0
goe101-il,4.0,30.0,6.9,30.0
goe10k-il,1.4,60.0,3.9,50.0
goe113-il,3.0,40.0,6.7,30.0
goe114-il,3.5,49.7,9.6,29.7
goe115-il,3.7,39.7,9.7,29.7
goe116-il,4.1,39.8,9.3,39.8
goe117-il,4.6,39.8,9.0,29.8
goe118-il,5.7,39.9,8.6,29.9
goe11k-il,2.7,60.0,7.5,50.0
goe121-il,4.6,39.9,6.7,19.9
goe122-il,4.1,30.0,7.3,30.0
goe123-il,5.7,40.0,5.4,25.0
goe124-il,5.6,39.9,7.9,29.9
goe12k-il,4.1,60.0,11.1,50.0
goe133-il,4.3,30.0,7.9,30.0
goe134-il,4.0,30.0,9.5,30.0
goe137-il,4.4,39.9,8.6,29.9
goe13k-il,5.5,60.0,14.8,50.0
goe14-il,6.9,29.8,9.9,29.8
goe140-il,5.3,29.9,8.8,29.9
goe142-il,3.8,34.9,6.2,24.9
goe143-il,3.8,29.9,7.4,19.9
goe144-il,4.7,39.9,7.3,19.9
goe147-il,3.8,29.9,7.5,14.9
goe14k-il,2.7,50.0,12.0,50.0
goe15-il,7.8,29.8,9.0,29.8
goe155-il,5.3,39.9,7.0,29.9
goe15k-il,3.4,50.0,15.0,50.0
goe164-il,6.6,39.9,8.9,19.9
goe165-il,5.7,49.7,12.1,19.7
goe167-il,4.5,29.9,10.1,29.9
goe16k-il,4.1,50.0,18.2,50.0
goe173-il,5.9,40.0,7.8,20.0
goe174-il,5.6,39.9,8.6,19.9
goe176-il,5.6,39.8,10.3,19.8
goe177-il,5.0,40.0,7.7,20.0
goe178-il,4.4,30.0,8.5,30.0
goe180-il,4.4,40.0,8.7,30.0
goe182-il,5.3,39.9,9.5,19.9
goe184-il,5.3,39.9,8.3,19.9
goe187-il,4.8,30.0,8.3,30.0
goe188-il,4.3,30.0,8.9,30.0
goe190-il,5.9,49.7,12.7,19.7
goe195-il,5.1,50.0,8.6,20.0
goe198-il,6.5,39.9,7.8,19.9
goe199-il,5.2,30.0,7.3,30.0
goe207-il,6.6,29.9,8.8,19.9
goe210-il,4.3,40.0,6.6,30.0
goe217-il,6.3,59.4,19.0,29.2
goe222-il,7.2,49.2,18.5,29.2
goe223-il,5.7,49.1,18.8,29.1
goe225-il,7.6,49.7,12.8,19.7
goe226-il,8.1,49.7,13.9,19.7
goe227-il,7.8,50.0,14.6,25.0
goe228-il,7.0,49.4,17.9,29.4
goe229-il,5.9,49.1,19.3,29.0
goe233-il,8.2,49.8,11.6,19.8
goe234-il,9.2,49.7,14.2,19.7
goe235-il,3.5,39.9,6.5,19.9
goe238-il,5.5,29.8,9.8,29.8
goe239-il,6.0,39.8,11.2,19.8
goe240-il,5.2,39.9,7.0,29.9
goe241-il,8.4,49.5,18.9,29.5
goe242-il,7.5,49.7,16.2,29.6
goe243-il,8.4,59.4,19.0,29.3
goe244-il,10.0,49.6,17.7,19.6
goe255-il,4.8,49.1,18.5,29.1
goe256-il,4.7,39.6,16.0,29.6
goe257-il,4.1,30.0,8.8,30.0
goe264-il,5.7,28.9,6.4,20.2
goe265-il,7.3,39.9,7.7,14.9
goe269-il,5.0,39.9,6.6,29.9
goe274-il,4.8,29.9,8.7,29.9
goe275-il,4.7,29.9,7.7,19.9
goe276-il,4.0,30.0,7.3,30.0
goe277-il,4.4,29.9,8.3,29.9
goe278-il,4.3,29.9,7.4,29.9
goe279-il,4.7,40.0,7.4,30.0
goe280-il,4.5,30.0,7.9,30.0
goe281-il,4.5,40.0,8.0,30.0
goe282-il,5.0,39.9,9.1,19.9
goe284-il,5.1,39.3,17.7,29.3
goe285-il,3.7,30.0,11.7,30.0
goe286-il,4.1,29.9,9.4,29.9
goe287-il,4.9,39.9,8.9,29.9
goe288-il,5.5,39.3,17.4,29.3
goe289-il,6.1,40.0,16.8,30.0
goe290-il,3.9,39.2,17.6,29.1
